internal_id,category_name,proposal_id,proposal_title,proposal_summary,proposal_problem,proposal_solution,proposal_url,proposal_files_url,proposal_public_key,proposal_funds,proposal_impact_score,proposer_name,proposer_email,proposer_url,proposer_relevant_experience,chain_vote_options,chain_vote_type
1,Fund2 challenge,16444246,Test proposal 16444246,To test the proposal process 16444246,We haven't tested proposal integration yet 16444246,Test the proposal integration process 16444246,https://iohk.submittable.com/submissions/16444246,https://iohk.submittable.com/submissions/16444246/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000246,0.5,IOHK 16444246,iohk_16444246@iohk.io,https://iohk.io,IOHK 16444246 - relevant experience,"blank,yes,no",public
2,Fund2 challenge,16444247,Test proposal 16444247,To test the proposal process 16444247,We haven't tested proposal integration yet 16444247,Test the proposal integration process 16444247,https://iohk.submittable.com/submissions/16444247,https://iohk.submittable.com/submissions/16444247/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000247,1.5,IOHK 16444247,iohk_16444247@iohk.io,https://iohk.io,IOHK 16444247 - relevant experience,"blank,yes,no",public
3,Fund2 challenge,16444248,Test proposal 16444248,To test the proposal process 16444248,We haven't tested proposal integration yet 16444248,Test the proposal integration process 16444248,https://iohk.submittable.com/submissions/16444248,https://iohk.submittable.com/submissions/16444248/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000248,2.5,IOHK 16444248,iohk_16444248@iohk.io,https://iohk.io,IOHK 16444248 - relevant experience,"blank,yes,no",public
4,Fund2 challenge,16444249,Test proposal 16444249,To test the proposal process 16444249,We haven't tested proposal integration yet 16444249,Test the proposal integration process 16444249,https://iohk.submittable.com/submissions/16444249,https://iohk.submittable.com/submissions/16444249/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000249,3.5,IOHK 16444249,iohk_16444249@iohk.io,https://iohk.io,IOHK 16444249 - relevant experience,"blank,yes,no",public
5,Fund2 challenge,16444250,Test proposal 16444250,To test the proposal process 16444250,We haven't tested proposal integration yet 16444250,Test the proposal integration process 16444250,https://iohk.submittable.com/submissions/16444250,https://iohk.submittable.com/submissions/16444250/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000250,4.5,IOHK 16444250,iohk_16444250@iohk.io,https://iohk.io,IOHK 16444250 - relevant experience,"blank,yes,no",public
6,Fund2 challenge,16444251,Test proposal 16444251,To test the proposal process 16444251,We haven't tested proposal integration yet 16444251,Test the proposal integration process 16444251,https://iohk.submittable.com/submissions/16444251,https://iohk.submittable.com/submissions/16444251/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000251,0.5,IOHK 16444251,iohk_16444251@iohk.io,https://iohk.io,IOHK 16444251 - relevant experience,"blank,yes,no",public
7,Fund2 challenge,16444252,Test proposal 16444252,To test the proposal process 16444252,We haven't tested proposal integration yet 16444252,Test the proposal integration process 16444252,https://iohk.submittable.com/submissions/16444252,https://iohk.submittable.com/submissions/16444252/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000252,1.5,IOHK 16444252,iohk_16444252@iohk.io,https://iohk.io,IOHK 16444252 - relevant experience,"blank,yes,no",public
8,Fund2 challenge,16444253,Test proposal 16444253,To test the proposal process 16444253,We haven't tested proposal integration yet 16444253,Test the proposal integration process 16444253,https://iohk.submittable.com/submissions/16444253,https://iohk.submittable.com/submissions/16444253/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000253,2.5,IOHK 16444253,iohk_16444253@iohk.io,https://iohk.io,IOHK 16444253 - relevant experience,"blank,yes,no",public
9,Fund2 challenge,16444254,Test proposal 16444254,To test the proposal process 16444254,We haven't tested proposal integration yet 16444254,Test the proposal integration process 16444254,https://iohk.submittable.com/submissions/16444254,https://iohk.submittable.com/submissions/16444254/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000254,3.5,IOHK 16444254,iohk_16444254@iohk.io,https://iohk.io,IOHK 16444254 - relevant experience,"blank,yes,no",public
10,Fund2 challenge,16444255,Test proposal 16444255,To test the proposal process 16444255,We haven't tested proposal integration yet 16444255,Test the proposal integration process 16444255,https://iohk.submittable.com/submissions/16444255,https://iohk.submittable.com/submissions/16444255/file/0,Ae2tdPwUPEYwrazXRJVK4NgHSZCjP9kLSMrx2awgYiBH61zT8kz6u33Sije,1000255,4.5,IOHK 16444255,iohk_16444255@iohk.io,https://iohk.io,IOHK 16444255 - relevant experience,"blank,yes,no",public
